fid,species,x,y,dbh,height,z
1,Beech,416722.57,5346717.97,0.47109863155201,28.82887716,521.551391601562
2,Beech,416723.3499,5346714.344,0.168704239677409,28.13972228,521.619018554688
3,Oak,416722.6513,5346713.425,0.3947042588679,26.17579265,521.719787597656
4,Beech,416720.808,5346714.973,0.114591559026165,28.40371103,521.4775390625
5,Oak,416717.9939,5346713.092,0.369239467973197,29.45472903,521.449890136719
6,Beech,416717.2207,5346712.262,0.111408460164327,29.22562155,521.492004394531
7,Silver Fir,416734.195,5346713.668,0.397887357729738,31.3615225,522.199279785156
8,Silver Fir,416734.6257,5346719.149,0.445633840657307,30.80807886,521.908325195312
9,Douglas Fir,416735.036,5346708.332,0.598422586025526,37.68710459,522.644714355469
10,Silver Fir,416728.3168,5346709.111,0.436084544071793,30.64725268,522.378967285156
11,Silver Fir,416729.4716,5346715.584,0.33422538049298,28.47089568,521.997375488281
12,Douglas Fir,416728.4633,5346721.667,0.458366236104659,30.98208985,521.610412597656
13,Silver Fir,416725.0846,5346721.58,0.0986760647169751,28.3407345,521.198669433594
14,Beech,416719.8006,5346726.576,0.25783100780887,28.85235014,520.774475097656
15,Beech,416719.7724,5346727.231,0.0923098669932993,27.0549408,520.607849121094
16,Beech,416719.741996328,5346720.67366482,0.105042262440651,26.3707036,521.016479492188
17,Beech,416718.2429,5346718.644,0.117774657888003,27.36340209,521.107543945312
18,Beech,416722.6346,5346719.963,0.15278874536822,33.33694943,521.277587890625
