age,height,dbh,species_latin,region,management,site_index,source,table_id
10,5.539848705588377,9.168700656170053,Acer pseudoplatanus,DE-Central,modeled,1.0,parametric_models,Nagel_1999_sycamore
15,8.33638633280113,13.586768138241618,Acer pseudoplatanus,DE-Central,modeled,1.0,parametric_models,Nagel_1999_sycamore
20,10.97682836884576,17.70325175139338,Acer pseudoplatanus,DE-Central,modeled,1.0,parametric_models,Nagel_1999_sycamore
25,13.406670131338156,21.505682869052592,Acer pseudoplatanus,DE-Central,modeled,1.0,parametric_models,Nagel_1999_sycamore
30,15.609533362697979,25.00028330592894,Acer pseudoplatanus,DE-Central,modeled,1.0,parametric_models,Nagel_1999_sycamore
35,17.58730142819833,28.20133900131286,Acer pseudoplatanus,DE-Central,modeled,1.0,parametric_models,Nagel_1999_sycamore
40,19.35098283035707,31.12667333523033,Acer pseudoplatanus,DE-Central,modeled,1.0,parametric_models,Nagel_1999_sycamore
45,20.915979696319756,33.79542962066079,Acer pseudoplatanus,DE-Central,modeled,1.0,parametric_models,Nagel_1999_sycamore
50,22.29947976962833,36.22689875015467,Acer pseudoplatanus,DE-Central,modeled,1.0,parametric_models,Nagel_1999_sycamore
55,23.51897878027286,38.43987725354531,Acer pseudoplatanus,DE-Central,modeled,1.0,parametric_models,Nagel_1999_sycamore
60,24.591444143844573,40.45231619573788,Acer pseudoplatanus,DE-Central,modeled,1.0,parametric_models,Nagel_1999_sycamore
65,25.532857587271852,42.281138205520556,Acer pseudoplatanus,DE-Central,modeled,1.0,parametric_models,Nagel_1999_sycamore
70,26.357987000607384,43.94215513191112,Acer pseudoplatanus,DE-Central,modeled,1.0,parametric_models,Nagel_1999_sycamore
75,27.080298254404703,45.45004712170331,Acer pseudoplatanus,DE-Central,modeled,1.0,parametric_models,Nagel_1999_sycamore
80,27.711952063487647,46.81837938156048,Acer pseudoplatanus,DE-Central,modeled,1.0,parametric_models,Nagel_1999_sycamore
85,28.26385137990607,48.05964179475591,Acer pseudoplatanus,DE-Central,modeled,1.0,parametric_models,Nagel_1999_sycamore
90,28.745717342777976,49.185301911396266,Acer pseudoplatanus,DE-Central,modeled,1.0,parametric_models,Nagel_1999_sycamore
95,29.166179731708016,50.205865155473276,Acer pseudoplatanus,DE-Central,modeled,1.0,parametric_models,Nagel_1999_sycamore
100,29.532872968058303,51.130938217236384,Acer pseudoplatanus,DE-Central,modeled,1.0,parametric_models,Nagel_1999_sycamore
105,29.852532035286224,51.96929298898589,Acer pseudoplatanus,DE-Central,modeled,1.0,parametric_models,Nagel_1999_sycamore
110,30.13108487952854,52.728929327459525,Acer pseudoplatanus,DE-Central,modeled,1.0,parametric_models,Nagel_1999_sycamore
115,30.373739298149403,53.417135550242435,Acer pseudoplatanus,DE-Central,modeled,1.0,parametric_models,Nagel_1999_sycamore
120,30.585063277595154,54.0405459988953,Acer pseudoplatanus,DE-Central,modeled,1.0,parametric_models,Nagel_1999_sycamore
125,30.76905836537208,54.60519529273822,Acer pseudoplatanus,DE-Central,modeled,1.0,parametric_models,Nagel_1999_sycamore
130,30.929226061836903,55.11656909684062,Acer pseudoplatanus,DE-Central,modeled,1.0,parametric_models,Nagel_1999_sycamore
135,31.06862746781136,55.5796513639654,Acer pseudoplatanus,DE-Central,modeled,1.0,parametric_models,Nagel_1999_sycamore
140,31.189936572589083,55.99896810210092,Acer pseudoplatanus,DE-Central,modeled,1.0,parametric_models,Nagel_1999_sycamore
145,31.295487647003455,56.37862777991811,Acer pseudoplatanus,DE-Central,modeled,1.0,parametric_models,Nagel_1999_sycamore
150,31.387317240733697,56.722358521156934,Acer pseudoplatanus,DE-Central,modeled,1.0,parametric_models,Nagel_1999_sycamore
155,31.46720128768898,57.03354226201549,Acer pseudoplatanus,DE-Central,modeled,1.0,parametric_models,Nagel_1999_sycamore
160,31.536687808973003,57.3152460576623,Acer pseudoplatanus,DE-Central,modeled,1.0,parametric_models,Nagel_1999_sycamore
